filename	label	latitude	longitude	width	stddeviations
auto	2016-10-07 00:00:00.0	42.0625	-88	0.0625	-0.35294
auto	2016-10-30 00:00:00.0	42	-86.5	0.0625	-0.59699
auto	2016-10-22 00:00:00.0	41.6875	-86.3125	0.0625	-1.08873
auto	2016-10-28 00:00:00.0	42.625	-88.625	0.0625	-1.19466
auto	2016-10-14 00:00:00.0	42.5625	-88.4375	0.0625	-0.50257
auto	2016-10-06 00:00:00.0	42.5625	-88.4375	0.0625	-0.07087
auto	2016-11-05 00:00:00.0	41.875	-87.9375	0.0625	-1.08169
auto	2016-10-02 00:00:00.0	40.875	-88.625	0.0625	-0.16781
auto	2016-11-01 00:00:00.0	41.625	-87.0625	0.0625	-0.47243
auto	2016-10-10 00:00:00.0	41.625	-87.6875	0.0625	-0.76647
auto	2016-10-07 00:00:00.0	40.5	-86.125	0.0625	-0.6862
auto	2016-10-28 00:00:00.0	41.75	-87.6875	0.0625	-0.85022
auto	2016-10-15 00:00:00.0	40.5	-86.125	0.0625	-0.98748
auto	2016-10-08 00:00:00.0	40.4375	-86.9375	0.0625	-1.09627
auto	2016-10-23 00:00:00.0	40.5	-86.125	0.0625	-0.66302
auto	2016-10-16 00:00:00.0	41.5	-87.75	0.0625	-0.28073
auto	2016-10-18 00:00:00.0	41.625	-87.6875	0.0625	0.95491
auto	2016-10-31 00:00:00.0	40.5	-86.125	0.0625	0.28717
auto	2016-10-24 00:00:00.0	40.4375	-86.9375	0.0625	0.56414
auto	2016-10-08 00:00:00.0	40.875	-88.625	0.0625	-1.57711
auto	2016-10-16 00:00:00.0	40.875	-88.625	0.0625	-0.64825
auto	2016-10-10 00:00:00.0	41.625	-87.0625	0.0625	-1.16942
auto	2016-10-02 00:00:00.0	40.4375	-86.9375	0.0625	-0.05182
auto	2016-10-13 00:00:00.0	40.5	-86.125	0.0625	-0.17634
auto	2016-11-01 00:00:00.0	41.625	-87.6875	0.0625	0.61678
auto	2016-10-10 00:00:00.0	41.5	-87.75	0.0625	-0.63768
auto	2016-10-21 00:00:00.0	40.5	-86.125	0.0625	-1.24241
auto	2016-10-10 00:00:00.0	41.375	-88.4375	0.0625	4.99056
auto	2016-10-19 00:00:00.0	41.375	-86.3125	0.0625	-1.99502
auto	2016-10-06 00:00:00.0	41.5	-87.0625	0.0625	-0.52238
auto	2016-10-27 00:00:00.0	41.375	-86.3125	0.0625	-0.74289
auto	2016-10-04 00:00:00.0	42.0625	-87.6875	0.0625	0.30259
auto	2016-10-10 00:00:00.0	41.8125	-87.75	0.0625	-0.63355
auto	2016-10-14 00:00:00.0	41.5	-87.0625	0.0625	0.07094
auto	2016-11-01 00:00:00.0	41.9375	-87.6875	0.0625	-0.42605
auto	2016-10-26 00:00:00.0	41.375	-88.4375	0.0625	-2.30217
auto	2016-10-28 00:00:00.0	42.0625	-87.6875	0.0625	0.26662
auto	2016-10-22 00:00:00.0	41.5	-87.0625	0.0625	0.17882
auto	2016-10-06 00:00:00.0	42.625	-88.625	0.0625	-0.31083
auto	2016-10-09 00:00:00.0	42.3125	-88.4375	0.0625	-0.25621
auto	2016-10-28 00:00:00.0	42.5625	-88.4375	0.0625	-0.87473
auto	2016-11-02 00:00:00.0	42.3125	-88.4375	0.0625	-1.98536
auto	2016-11-03 00:00:00.0	41.8125	-86.75	0.0625	-2.24798
auto	2016-10-12 00:00:00.0	42	-86.5	0.0625	-0.07762
auto	2016-10-21 00:00:00.0	42.0625	-88	0.0625	-0.76146
auto	2016-11-05 00:00:00.0	41.5	-88.1875	0.0625	-0.78026
auto	2016-10-31 00:00:00.0	42.5625	-88.4375	0.0625	-1.4553
auto	2016-10-02 00:00:00.0	42.3125	-88.4375	0.0625	0.01682
auto	2016-10-05 00:00:00.0	42.625	-88.625	0.0625	0.29803
auto	2016-10-15 00:00:00.0	41.6875	-86.3125	0.0625	-1.76409
auto	2016-10-15 00:00:00.0	42.5625	-88.4375	0.0625	-0.78542
auto	2016-10-18 00:00:00.0	42.3125	-88.4375	0.0625	-0.30171
auto	2016-11-05 00:00:00.0	40.4375	-89	0.0625	-0.48108
auto	2016-10-29 00:00:00.0	42.625	-88.625	0.0625	-1.99993
auto	2016-10-26 00:00:00.0	42.3125	-88.4375	0.0625	-1.53032
auto	2016-10-09 00:00:00.0	41.375	-88.4375	0.0625	-0.18159
auto	2016-10-07 00:00:00.0	42.0625	-87.6875	0.0625	-0.27288
auto	2016-10-08 00:00:00.0	42.75	-86.125	0.0625	-0.52433
auto	2016-10-17 00:00:00.0	41.375	-88.4375	0.0625	1.00801
auto	2016-10-15 00:00:00.0	42.0625	-87.6875	0.0625	0.51839
auto	2016-10-16 00:00:00.0	42.75	-86.125	0.0625	-0.7191
auto	2016-10-09 00:00:00.0	41.8125	-87.75	0.0625	0.28095
auto	2016-10-21 00:00:00.0	42.0625	-86.5	0.0625	-0.94784
auto	2016-10-24 00:00:00.0	41.875	-88	0.0625	-1.20908
auto	2016-11-02 00:00:00.0	41.8125	-87.75	0.0625	1.24722
auto	2016-10-16 00:00:00.0	41.875	-88	0.0625	-0.64067
auto	2016-10-03 00:00:00.0	41.9375	-87.6875	0.0625	-0.47283
auto	2016-11-02 00:00:00.0	41.5	-87.75	0.0625	-1.01563
auto	2016-10-09 00:00:00.0	40.4375	-86.9375	0.0625	-0.2125
auto	2016-10-25 00:00:00.0	41.5	-87.75	0.0625	0.07623
auto	2016-10-01 00:00:00.0	41.5625	-87.8125	0.0625	-0.14608
auto	2016-10-14 00:00:00.0	40.5	-86.125	0.0625	-0.03728
auto	2016-10-27 00:00:00.0	41.625	-87.6875	0.0625	-0.36686
auto	2016-10-05 00:00:00.0	41.75	-87.6875	0.0625	0.65402
auto	2016-10-25 00:00:00.0	40.4375	-86.9375	0.0625	1.34079
auto	2016-10-30 00:00:00.0	40.5	-86.125	0.0625	-0.9643
auto	2016-10-03 00:00:00.0	40.875	-88.625	0.0625	0.98526
auto	2016-10-09 00:00:00.0	41.625	-87.0625	0.0625	-0.66008
auto	2016-11-05 00:00:00.0	41.8125	-88.1875	0.0625	-0.30145
auto	2016-11-02 00:00:00.0	41.625	-87.0625	0.0625	-1.366
auto	2016-10-19 00:00:00.0	40.875	-88.625	0.0625	-0.55216
auto	2016-10-18 00:00:00.0	40.75	-86.375	0.0625	-0.85988
auto	2016-10-21 00:00:00.0	40.5	-89	0.0625	0.56267
auto	2016-10-30 00:00:00.0	42.3125	-89	0.0625	-0.14769
auto	2016-10-27 00:00:00.0	41.625	-87.5	0.0625	-1.05159
auto	2016-10-07 00:00:00.0	39.9375	-86.125	0.0625	0.06571
auto	2016-10-29 00:00:00.0	40.5	-89	0.0625	-0.76994
auto	2016-10-05 00:00:00.0	40.5	-89	0.0625	0.71379
auto	2016-11-04 00:00:00.0	41.625	-87.0625	0.0625	-1.33026
auto	2016-10-11 00:00:00.0	41.625	-87.5	0.0625	1.44377
auto	2016-10-07 00:00:00.0	41.875	-87.9375	0.0625	1.92961
auto	2016-10-28 00:00:00.0	40.125	-88.1875	0.0625	-0.14176
auto	2016-10-31 00:00:00.0	39.9375	-86.125	0.0625	-0.29201
auto	2016-10-03 00:00:00.0	41.625	-87.5	0.0625	-0.29542
auto	2016-11-01 00:00:00.0	40.9375	-87.125	0.0625	1.76846
auto	2016-10-02 00:00:00.0	42.6875	-87.9375	0.0625	-0.69605
auto	2016-10-16 00:00:00.0	40.9375	-87.125	0.0625	-0.00788
auto	2016-10-27 00:00:00.0	41.5	-87.3125	0.0625	-1.10728
auto	2016-10-08 00:00:00.0	40.9375	-87.125	0.0625	0.1915
auto	2016-10-18 00:00:00.0	42.6875	-87.9375	0.0625	-0.1905
auto	2016-11-05 00:00:00.0	40.5	-86.125	0.0625	-0.10681
